Date_Start_Date,Project_Cost,Project_Size
1/19/2018,1,1
1/24/2018,1,1
1/24/2018,1,1
1/24/2018,1,1
1/24/2018,1,1
1/24/2018,1,1
1/24/2018,1,1
1/24/2018,1,1
1/24/2018,1,1
1/24/2018,1,1
1/24/2018,1,1
1/25/2018,1,1
1/25/2018,1,1
1/25/2018,1,1
1/25/2018,1,1
1/31/2018,1,1
1/31/2018,1,1
1/31/2018,1,1
1/31/2018,1,1
1/31/2018,1,1
1/31/2018,1,1
2/1/2018,1,1
2/1/2018,1,1
2/1/2018,1,1
2/1/2018,1,1
2/1/2018,1,1
2/1/2018,1,1
2/1/2018,1,1
2/2/2018,1000000,5000
2/2/2018,1000000,5000
2/2/2018,1000000,5000
2/2/2018,1000000,5000
2/2/2018,1,1
2/2/2018,1,1
2/2/2018,1,1
2/2/2018,1,1
2/2/2018,1,1
2/2/2018,1,1
2/2/2018,1,1
2/2/2018,1,1
2/2/2018,1,1
2/2/2018,1,1
2/2/2018,1,1
2/2/2018,1,1
2/2/2018,1,1
2/2/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/5/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/6/2018,1,1
2/7/2018,1,1
2/7/2018,1,1
2/7/2018,1,1
2/7/2018,1,1
2/7/2018,1,1
2/7/2018,1,1
2/7/2018,1,1
2/7/2018,1,1
2/7/2018,1,1
2/7/2018,1,1
2/8/2018,1,1
2/8/2018,1,1
2/8/2018,1,1
2/8/2018,1,1
2/8/2018,1,1
2/8/2018,1,1
2/8/2018,1,1
2/8/2018,1000000,5000
2/8/2018,1000000,5000
2/8/2018,1000000,5000
2/8/2018,1000000,5000
2/8/2018,1000000,5000
2/8/2018,1000000,5000
2/8/2018,1000000,5000
2/9/2018,1,1
2/9/2018,1,1
2/9/2018,1,1
2/9/2018,1,1
2/9/2018,1,1
2/9/2018,1,1
2/9/2018,1,1
2/9/2018,1,1
2/9/2018,1,1
2/9/2018,1,1
2/12/2018,1,1
2/12/2018,1,1
2/12/2018,1,1
2/12/2018,1,1
2/12/2018,1,1
2/12/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/13/2018,1,1
2/15/2018,1,1
2/19/2018,2000000,8500
2/19/2018,2000000,8500
2/19/2018,2000000,8500
2/19/2018,2000000,8500
2/19/2018,2000000,8500
2/19/2018,2000000,8500
2/19/2018,2000000,8500
2/19/2018,1,1
2/19/2018,1,1
2/19/2018,1,1
2/19/2018,1,1
2/19/2018,1,1
2/19/2018,1,1
2/19/2018,1,1
2/19/2018,1,1
2/19/2018,1,1
2/19/2018,1,1
2/19/2018,1,1
2/19/2018,1,1
2/19/2018,1,1
2/19/2018,1,1
2/20/2018,1,1
2/20/2018,1,1
2/20/2018,1,1
2/20/2018,1,1
2/20/2018,1,1
2/20/2018,1,1
2/20/2018,1,1
2/20/2018,1,1
2/20/2018,1,1
2/20/2018,1,1
2/21/2018,1,1
2/21/2018,1,1
2/21/2018,1,1
2/21/2018,1,1
2/21/2018,1,1
2/21/2018,1,1
2/21/2018,1,1
2/21/2018,1,1
2/21/2018,1,1
2/21/2018,1,1
2/21/2018,1,1
2/21/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/23/2018,1,1
2/26/2018,1,1
2/26/2018,1,1
2/26/2018,1,1
2/26/2018,1,1
2/26/2018,1,1
2/26/2018,1,1
2/26/2018,1,1
2/26/2018,1,1
2/26/2018,1,1
2/26/2018,1,1
2/26/2018,1,1
2/26/2018,1000000,5000
2/26/2018,1000000,5000
2/26/2018,1000000,5000
2/26/2018,1000000,5000
2/26/2018,1000000,5000
2/26/2018,1000000,5000
2/26/2018,1000000,5000
2/26/2018,1000000,5000
2/26/2018,1,1
2/27/2018,1,1
2/27/2018,1,1
2/27/2018,1,1
2/27/2018,1,1
2/27/2018,1,1
2/27/2018,1,1
2/27/2018,1,1
2/27/2018,1,1
2/27/2018,1,1
2/27/2018,1,1
2/27/2018,1000000,5000
2/27/2018,1000000,5000
2/27/2018,1000000,5000
2/27/2018,1000000,5000
2/27/2018,1,1
2/27/2018,1,1
2/27/2018,1,1
2/27/2018,1,1
2/27/2018,1,1
2/28/2018,1,1
2/28/2018,1,1
2/28/2018,1,1
2/28/2018,1,1
2/28/2018,1,1
2/28/2018,1,1
2/28/2018,1,1
2/28/2018,1,1
2/28/2018,1,40000
2/28/2018,1,40000
2/28/2018,1,40000
2/28/2018,1,40000
2/28/2018,1,40000
2/28/2018,1,40000
2/28/2018,1,40000
3/1/2018,1,1
3/1/2018,1,1
3/1/2018,1,1
3/1/2018,1,1
3/1/2018,1,1
3/1/2018,1,1
3/1/2018,1,1
3/1/2018,1,1
3/1/2018,1,1
3/1/2018,1,1
3/1/2018,1,1
3/1/2018,1,1
3/1/2018,1,1
3/2/2018,1,1
3/2/2018,1,1
3/2/2018,1,1
3/2/2018,1,1
3/2/2018,1,1
3/2/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
